<http://dbpedia.org/ontology/MartialArtist>,martial_artist skilled_fighter martial_art martial_arts martial_arts_master martial_arts_training kung_fu martial_artists
<http://dbpedia.org/ontology/RailwayTunnel>,
<http://dbpedia.org/ontology/RailwayLine>,rail_line railway_line railway
<http://dbpedia.org/ontology/HandballLeague>,
<http://dbpedia.org/ontology/RugbyPlayer>,rugby_player soccer_player football_player
<http://dbpedia.org/ontology/ProgrammingLanguage>,higher_level_language programming_languages other_programming_languages scripting_language programming_language computer_language high_level_language functional_language c++ scripting_languages design_patterns
<http://dbpedia.org/ontology/CanadianFootballLeague>,
<http://dbpedia.org/ontology/RecordLabel>,record_label music_label indie_label major_labels major_record_label record_deal record_companies songwriters independent_label record_company record_labels
<http://dbpedia.org/ontology/SnookerChamp>,
<http://dbpedia.org/ontology/SnookerPlayer>,
<http://dbpedia.org/ontology/GovernmentAgency>,regulatory_agency governmental_agency government_agency government_agencies government_entity other_agency government_department private_corporation federal_agency government_organization agencies
<http://dbpedia.org/ontology/AcademicJournal>,scientific_paper academic_paper reputable_journal scientific_journal academic_journal research_paper
<http://dbpedia.org/ontology/TennisPlayer>,tennis_player soccer_player
<http://dbpedia.org/ontology/RoadJunction>,
<http://dbpedia.org/ontology/TelevisionEpisode>,
<http://dbpedia.org/ontology/FootballMatch>,soccer_match football_match sporting_event soccer_game cricket_match football_matches
<http://dbpedia.org/ontology/PublicTransitSystem>,public_transit_system bus_system transit_systems mass_transit_system public_transportation public_transportation_system transportation_system bus_service transit_system mass_transit public_transit
<http://dbpedia.org/ontology/AutomobileEngine>,
<http://dbpedia.org/ontology/MilitaryPerson>,military_member military_person
<http://dbpedia.org/ontology/GovernmentalAdministrativeRegion>,
<http://dbpedia.org/ontology/Province>,only_province entire_province other_province other_provinces provinces province
<http://dbpedia.org/ontology/SportsSeason>,
<http://dbpedia.org/ontology/MotorsportSeason>,
<http://www.w3.org/2002/07/owl#Thing>,
<http://dbpedia.org/ontology/TimePeriod>,time_period specific_time_period time_periods
<http://dbpedia.org/ontology/Biomolecule>,
<http://dbpedia.org/ontology/Enzyme>,lipids proteins certain_proteins enzymes glutamate dehydrogenase enzyme cell_membranes proteases amino_acid glucose
<http://dbpedia.org/ontology/CyclingLeague>,
<http://dbpedia.org/ontology/Territory>,whole_territory buffer_zone territories other_territory territory home_territory own_territory disputed_territory more_territory sovereign_territory borders
<http://dbpedia.org/ontology/CurlingLeague>,
<http://dbpedia.org/ontology/Tax>,federal_tax other_taxes taxed additional_tax income_tax tax taxable additional_taxes federal_taxes income_taxes tax_credit
<http://dbpedia.org/ontology/RaceTrack>,road_course race_car race_track single_car drag_strip fast_car race_cars race_course rally_car racetrack drag_races
<http://dbpedia.org/ontology/Racecourse>,racecourse
<http://dbpedia.org/ontology/BloodType>,blood_types blood_type
<http://dbpedia.org/ontology/GeneLocation>,
<http://dbpedia.org/ontology/MouseGeneLocation>,
<http://dbpedia.org/ontology/Prison>,sentenced maximum_security_prison prison_time sentencing death_row incarcerated federal_prison prison jail life_sentence prison_sentence
<http://dbpedia.org/ontology/HandballPlayer>,
<http://dbpedia.org/ontology/Religious>,
<http://dbpedia.org/ontology/Installment>,instalment first_installment installment
<http://dbpedia.org/ontology/Department>,department entire_department specific_department other_department supervisors whole_department superintendent departments own_department dept other_departments
<http://dbpedia.org/ontology/Painter>,painter painting
<http://dbpedia.org/ontology/LineOfFashion>,
<http://dbpedia.org/ontology/CyclingTeam>,cycling_team
<http://dbpedia.org/ontology/Jockey>,jockey
<http://dbpedia.org/ontology/SportCompetitionResult>,
<http://dbpedia.org/ontology/HumanGeneLocation>,
<http://dbpedia.org/ontology/ChristianPatriarch>,
<http://dbpedia.org/ontology/TopicalConcept>,
<http://dbpedia.org/ontology/GovernmentType>,government_type
<http://dbpedia.org/ontology/ReligiousBuilding>,religious_building
<http://dbpedia.org/ontology/MotorcycleRider>,biker bike_rider pedestrian bicyclist car_driver motorcyclist motorcyclists motorist cyclist motorcycle_rider
<http://dbpedia.org/ontology/ClericalAdministrativeRegion>,
